,T,p,p_rgh,Ux,Uy,Ux
93,293.115,100143.0,143.501,-0.0130158,0.000175709,0.0
94,293.115,100143.0,143.501,-0.0137348,0.000189397,0.0
95,293.115,100143.0,143.501,-0.0145209,0.00020416,0.0
96,293.115,100143.0,143.501,-0.0153833,0.000219696,0.0
97,293.115,100143.0,143.501,-0.0163321,0.000235363,0.0
98,293.114,100143.0,143.501,-0.0173771,0.000250118,0.0
99,293.113,100143.0,143.502,-0.0185247,0.000262579,0.0
100,293.111,100143.0,143.502,-0.0197741,0.000271199,0.0
101,293.106,100143.0,143.502,-0.0211111,0.00027433,0.0
102,293.099,100143.0,143.502,-0.0225016,0.000269902,0.0
103,293.086,100143.0,143.502,-0.0238868,0.000254809,0.0
104,293.067,100143.0,143.502,-0.0251847,0.000224869,0.0
105,293.04,100143.0,143.502,-0.0262995,0.000176324,0.0
106,293.003,100143.0,143.503,-0.027138,0.000108501,0.0
107,292.955,100143.0,143.503,-0.0276269,2.67124e-05,0.0
108,292.897,100143.0,143.503,-0.0277216,-5.35115e-05,0.0
109,292.825,100143.0,143.503,-0.0274527,-0.000116024,0.0
110,292.739,100143.0,143.503,-0.0267969,-0.000189537,0.0
111,292.643,100143.0,143.503,-0.0257605,-0.000280516,0.0
112,292.541,100143.0,143.503,-0.024383,-0.000380618,0.0
113,292.435,100143.0,143.503,-0.0227274,-0.000476826,0.0
114,292.331,100143.0,143.503,-0.020874,-0.000556504,0.0
115,292.23,100143.0,143.503,-0.0189117,-0.000609789,0.0
116,292.136,100143.0,143.503,-0.0169311,-0.000630294,0.0
117,292.049,100143.0,143.503,-0.0150195,-0.000614867,0.0
118,291.97,100143.0,143.503,-0.0132585,-0.000562994,0.0
119,291.899,100143.0,143.502,-0.0117214,-0.000476202,0.0
120,291.836,100143.0,143.502,-0.01047,-0.000357715,0.0
121,291.78,100143.0,143.502,-0.00955096,-0.000212572,0.0
122,291.73,100143.0,143.502,-0.00898929,-4.78735e-05,0.0
123,291.686,100143.0,143.502,-0.00877345,0.000120939,0.0
124,291.645,100143.0,143.502,-0.00893703,0.000251771,0.0
125,291.604,100143.0,143.502,-0.00951075,0.000340256,0.0
126,291.565,100143.0,143.502,-0.0104145,0.000376277,0.0
127,291.524,100143.0,143.502,-0.011544,0.000355304,0.0
128,291.482,100143.0,143.502,-0.0127872,0.000275483,0.0
129,291.436,100143.0,143.503,-0.0140562,0.000143672,0.0
130,291.386,100143.0,143.503,-0.0153034,-1.55523e-05,0.0
131,291.332,100143.0,143.503,-0.0165251,-0.000165612,0.0
132,291.272,100143.0,143.503,-0.017757,-0.000268908,0.0
133,291.207,100143.0,143.503,-0.019055,-0.000299795,0.0
134,291.137,100143.0,143.503,-0.0204683,-0.000253996,0.0
135,291.063,100143.0,143.503,-0.0220179,-0.000149254,0.0
136,290.986,100143.0,143.503,-0.0236858,-1.69917e-05,0.0
137,290.905,100143.0,143.503,-0.0254194,0.000110213,0.0
138,290.823,100143.0,143.503,-0.0271472,0.000208602,0.0
139,290.742,100143.0,143.503,-0.0287967,0.000267187,0.0
140,290.663,100143.0,143.503,-0.0303079,0.000286232,0.0
141,290.591,100143.0,143.503,-0.0316405,0.000272915,0.0
142,290.527,100143.0,143.503,-0.0327738,0.000236879,0.0
143,290.473,100143.0,143.503,-0.0337043,0.000187287,0.0
144,290.431,100143.0,143.503,-0.0344419,0.00013155,0.0
145,290.4,100143.0,143.503,-0.0350062,7.5196e-05,0.0
146,290.378,100143.0,143.503,-0.0354241,2.2255e-05,0.0
147,290.363,100143.0,143.503,-0.0357266,-2.4253e-05,0.0
148,290.353,100143.0,143.503,-0.035948,-6.20904e-05,0.0
149,290.347,100143.0,143.503,-0.036124,-8.99764e-05,0.0
150,290.342,100143.0,143.503,-0.0362919,-0.000107726,0.0
151,290.338,100143.0,143.503,-0.0364896,-0.000115012,0.0
152,290.335,100143.0,143.503,-0.036754,-0.000109305,0.0
153,290.331,100143.0,143.503,-0.0371193,-8.8462e-05,0.0
154,290.327,100143.0,143.503,-0.0376191,-5.15992e-05,0.0
155,290.323,100143.0,143.503,-0.0382849,1.67096e-06,0.0
156,290.318,100143.0,143.503,-0.0391457,7.15854e-05,0.0
157,290.313,100143.0,143.503,-0.0402269,0.000158228,0.0
158,290.307,100143.0,143.503,-0.0415501,0.000261395,0.0
159,290.301,100143.0,143.503,-0.0431332,0.000380453,0.0
160,290.295,100143.0,143.503,-0.0449892,0.000514237,0.0
161,290.288,100143.0,143.503,-0.0471269,0.000661031,0.0
162,290.281,100143.0,143.503,-0.0495498,0.000818619,0.0
163,290.273,100143.0,143.503,-0.0522567,0.000984402,0.0
164,290.265,100143.0,143.503,-0.0552418,0.00115554,0.0
165,290.256,100143.0,143.502,-0.0584948,0.00132909,0.0
166,290.248,100143.0,143.502,-0.0620014,0.00150219,0.0
167,290.239,100143.0,143.502,-0.065744,0.00167221,0.0
168,290.23,100143.0,143.502,-0.0697021,0.0018369,0.0
169,290.22,100143.0,143.502,-0.0738532,0.00199448,0.0
170,290.211,100143.0,143.502,-0.0781735,0.00214367,0.0
171,290.201,100143.0,143.502,-0.0826379,0.00228362,0.0
172,290.192,100143.0,143.502,-0.0872213,0.00241386,0.0
173,290.183,100143.0,143.502,-0.091898,0.00253419,0.0
174,290.173,100143.0,143.502,-0.0966423,0.00264454,0.0
175,290.163,100143.0,143.502,-0.101428,0.00274475,0.0
176,290.154,100143.0,143.502,-0.106228,0.00283439,0.0
177,290.144,100143.0,143.502,-0.111014,0.00291251,0.0
178,290.134,100143.0,143.502,-0.115753,0.00297733,0.0
179,290.125,100143.0,143.502,-0.12041,0.00302589,0.0
180,290.115,100143.0,143.502,-0.124941,0.00305355,0.0
181,290.105,100143.0,143.502,-0.129294,0.00305342,0.0
182,290.094,100143.0,143.502,-0.133403,0.00301536,0.0
183,290.084,100143.0,143.503,-0.137182,0.00292428,0.0
184,290.074,100143.0,143.503,-0.140518,0.00275796,0.0
185,290.063,100143.0,143.503,-0.143258,0.00248557,0.0
186,290.052,100143.0,143.504,-0.14519,0.00206504,0.0
187,290.041,100143.0,143.505,-0.14604,0.00142655,0.0
188,290.03,100143.0,143.506,-0.145531,0.000457063,0.0
189,290.014,100143.0,143.508,-0.143128,-0.000845489,0.0
190,289.993,100143.0,143.51,-0.138334,-0.00248606,0.0
191,289.964,100143.0,143.512,-0.130612,-0.00448563,0.0
192,289.925,100143.0,143.515,-0.119393,-0.00685234,0.0
193,289.873,100143.0,143.517,-0.104156,-0.00955116,0.0
194,289.806,100143.0,143.52,-0.0846459,-0.0124545,0.0
195,289.717,100143.0,143.522,-0.0613179,-0.0152192,0.0
196,289.601,100143.0,143.523,-0.0357946,-0.0169708,0.0
197,289.443,100143.0,143.523,-0.0103692,-0.0155247,0.0
198,289.156,100143.0,143.522,0.0134007,-0.00175711,0.0
199,288.78,100143.0,143.522,0.0106977,0.0066847,0.0
200,298.759,100143.0,143.497,-0.0100587,0.0214495,0.0
201,294.313,100143.0,143.499,-0.0161505,0.00244737,0.0
202,293.384,100143.0,143.499,-0.0172067,-0.00354958,0.0
203,293.181,100143.0,143.499,-0.0161179,-0.00398715,0.0
204,293.133,100143.0,143.499,-0.0144914,-0.00321726,0.0
205,293.12,100143.0,143.499,-0.0129501,-0.00239136,0.0
206,293.117,100143.0,143.499,-0.0116545,-0.00174922,0.0
207,293.116,100143.0,143.499,-0.0106004,-0.00128946,0.0
208,293.115,100143.0,143.499,-0.0097481,-0.000966346,0.0
209,293.115,100143.0,143.499,-0.00905704,-0.000737789,0.0
210,293.115,100143.0,143.499,-0.00849342,-0.000573374,0.0
211,293.115,100143.0,143.499,-0.00803074,-0.000452619,0.0
212,293.115,100143.0,143.499,-0.00764859,-0.000361993,0.0
213,293.115,100143.0,143.499,-0.00733125,-0.000292536,0.0
214,293.115,100143.0,143.499,-0.00706661,-0.00023825,0.0
215,293.115,100143.0,143.499,-0.00684529,-0.000195049,0.0
216,293.115,100143.0,143.499,-0.00665993,-0.000160102,0.0
217,293.115,100143.0,143.499,-0.00650473,-0.00013141,0.0
218,293.115,100143.0,143.499,-0.00637506,-0.000107532,0.0
219,293.115,100143.0,143.499,-0.00626721,-8.7413e-05,0.0
220,293.115,100143.0,143.499,-0.00617817,-7.02671e-05,0.0
221,293.115,100143.0,143.499,-0.00610547,-5.54994e-05,0.0
222,293.115,100143.0,143.499,-0.0060471,-4.2651e-05,0.0
223,293.115,100143.0,143.499,-0.00600137,-3.13589e-05,0.0
224,293.115,100143.0,143.499,-0.0059669,-2.13245e-05,0.0
225,293.115,100143.0,143.499,-0.00594254,-1.22844e-05,0.0
226,293.115,100143.0,143.499,-0.00592738,-3.99898e-06,0.0
227,293.115,100143.0,143.499,-0.0059204,3.64251e-06,0.0
228,293.115,100143.0,143.499,-0.00592133,1.06683e-05,0.0
229,293.115,100143.0,143.499,-0.00592976,1.70888e-05,0.0
230,293.115,100143.0,143.499,-0.00594498,2.30065e-05,0.0
231,293.115,100143.0,143.499,-0.00596645,2.84973e-05,0.0
232,293.115,100143.0,143.499,-0.00599375,3.36332e-05,0.0
233,293.115,100143.0,143.499,-0.00602653,3.84803e-05,0.0
234,293.115,100143.0,143.499,-0.00606449,4.30961e-05,0.0
235,293.115,100143.0,143.499,-0.00610739,4.75294e-05,0.0
236,293.115,100143.0,143.499,-0.00615504,5.18219e-05,0.0
237,293.115,100143.0,143.499,-0.0062073,5.60087e-05,0.0
238,293.115,100143.0,143.499,-0.00626406,6.01208e-05,0.0
239,293.115,100143.0,143.499,-0.00632522,6.41859e-05,0.0
240,293.115,100143.0,143.499,-0.00639074,6.82289e-05,0.0
241,293.115,100143.0,143.499,-0.00646059,7.2273e-05,0.0
242,293.115,100143.0,143.499,-0.00653477,7.63397e-05,0.0
243,293.115,100143.0,143.499,-0.00661328,8.04491e-05,0.0
244,293.115,100143.0,143.499,-0.00669617,8.46206e-05,0.0
245,293.115,100143.0,143.499,-0.00678349,8.88725e-05,0.0
246,293.115,100143.0,143.499,-0.00687533,9.32229e-05,0.0
247,293.115,100143.0,143.499,-0.00697176,9.76892e-05,0.0
248,293.115,100143.0,143.499,-0.0070729,0.000102289,0.0
249,293.115,100143.0,143.499,-0.00717888,0.000107039,0.0
250,293.115,100143.0,143.499,-0.00728985,0.000111958,0.0
251,293.115,100143.0,143.499,-0.00740596,0.000117063,0.0
252,293.115,100143.0,143.499,-0.00752742,0.000122374,0.0
253,293.115,100143.0,143.499,-0.00765441,0.000127908,0.0
254,293.115,100143.0,143.499,-0.00778717,0.000133688,0.0
255,293.115,100143.0,143.499,-0.00792595,0.000139733,0.0
256,293.115,100143.0,143.499,-0.00807101,0.000146067,0.0
257,293.115,100143.0,143.499,-0.00822264,0.000152714,0.0
258,293.115,100143.0,143.5,-0.00838118,0.000159701,0.0
259,293.115,100143.0,143.5,-0.00854697,0.000167056,0.0
260,293.115,100143.0,143.5,-0.00872038,0.000174811,0.0
261,293.115,100143.0,143.5,-0.00890184,0.000183001,0.0
262,293.115,100143.0,143.5,-0.00909178,0.000191662,0.0
