,T,p,p_rgh,Ux,Uy,Ux
0,298.488,100146.0,146.052,-0.0119553,0.00838016,0.0
1,294.302,100146.0,146.053,-0.0170968,-0.000202781,0.0
2,293.409,100146.0,146.053,-0.0149819,-0.00174718,0.0
3,293.197,100146.0,146.053,-0.0118835,-0.0015155,0.0
4,293.141,100146.0,146.054,-0.00927666,-0.00104,0.0
5,293.125,100146.0,146.054,-0.00741634,-0.000670996,0.0
6,293.12,100146.0,146.054,-0.00612626,-0.000429964,0.0
7,293.118,100146.0,146.054,-0.00522083,-0.000279677,0.0
8,293.118,100146.0,146.054,-0.0045695,-0.000186611,0.0
9,293.117,100146.0,146.054,-0.00408906,-0.000128248,0.0
10,293.117,100146.0,146.054,-0.00372631,-9.07542e-05,0.0
11,293.117,100146.0,146.054,-0.00344676,-6.5945e-05,0.0
12,293.117,100146.0,146.054,-0.00322765,-4.90042e-05,0.0
13,293.117,100146.0,146.054,-0.00305361,-3.70681e-05,0.0
14,293.117,100146.0,146.054,-0.00291397,-2.84026e-05,0.0
15,293.117,100146.0,146.054,-0.00280118,-2.19336e-05,0.0
16,293.117,100146.0,146.054,-0.00270975,-1.69793e-05,0.0
17,293.117,100146.0,146.054,-0.00263562,-1.30965e-05,0.0
18,293.117,100146.0,146.054,-0.00257572,-9.98933e-06,0.0
19,293.117,100146.0,146.054,-0.0025277,-7.45527e-06,0.0
20,293.117,100146.0,146.054,-0.0024897,-5.35224e-06,0.0
21,293.117,100146.0,146.054,-0.0024603,-3.57783e-06,0.0
22,293.117,100146.0,146.054,-0.00243832,-2.05577e-06,0.0
23,293.117,100146.0,146.054,-0.00242284,-7.25656e-07,0.0
24,293.117,100146.0,146.054,-0.00241314,4.70103e-07,0.0
25,293.117,100146.0,146.054,-0.00240859,1.59739e-06,0.0
26,293.117,100146.0,146.054,-0.00240877,2.62661e-06,0.0
27,293.117,100146.0,146.054,-0.00241356,3.45791e-06,0.0
28,293.117,100146.0,146.054,-0.00242238,4.19109e-06,0.0
29,293.117,100146.0,146.054,-0.00243478,4.90754e-06,0.0
30,293.117,100146.0,146.054,-0.00245048,5.58758e-06,0.0
31,293.117,100146.0,146.054,-0.00246929,6.22783e-06,0.0
32,293.117,100146.0,146.054,-0.00249103,6.83521e-06,0.0
33,293.117,100146.0,146.054,-0.00251554,7.41837e-06,0.0
34,293.117,100146.0,146.054,-0.0025427,7.98483e-06,0.0
35,293.117,100146.0,146.054,-0.00257241,8.54067e-06,0.0
36,293.117,100146.0,146.054,-0.00260461,9.09074e-06,0.0
37,293.117,100146.0,146.054,-0.00263925,9.63905e-06,0.0
38,293.117,100146.0,146.054,-0.00267628,1.0189e-05,0.0
39,293.117,100146.0,146.054,-0.00271571,1.07439e-05,0.0
40,293.117,100146.0,146.054,-0.00275751,1.13065e-05,0.0
41,293.117,100146.0,146.054,-0.00280172,1.18799e-05,0.0
42,293.117,100146.0,146.054,-0.00284834,1.24668e-05,0.0
43,293.117,100146.0,146.054,-0.00289742,1.30701e-05,0.0
44,293.117,100146.0,146.054,-0.00294899,1.36926e-05,0.0
45,293.117,100146.0,146.054,-0.00300314,1.43373e-05,0.0
46,293.117,100146.0,146.054,-0.00305991,1.5007e-05,0.0
47,293.117,100146.0,146.054,-0.00311939,1.57044e-05,0.0
48,293.117,100146.0,146.054,-0.00318168,1.64325e-05,0.0
49,293.117,100146.0,146.054,-0.00324688,1.71942e-05,0.0
50,293.117,100146.0,146.054,-0.0033151,1.79923e-05,0.0
51,293.117,100146.0,146.054,-0.00338646,1.88298e-05,0.0
52,293.117,100146.0,146.054,-0.00346111,1.97097e-05,0.0
53,293.117,100146.0,146.054,-0.0035392,2.06352e-05,0.0
54,293.117,100146.0,146.054,-0.00362089,2.16096e-05,0.0
55,293.117,100146.0,146.054,-0.00370634,2.26365e-05,0.0
56,293.117,100146.0,146.054,-0.00379577,2.37196e-05,0.0
57,293.117,100146.0,146.054,-0.00388936,2.48632e-05,0.0
58,293.117,100146.0,146.054,-0.00398735,2.60722e-05,0.0
59,293.117,100146.0,146.054,-0.00408997,2.73518e-05,0.0
60,293.117,100146.0,146.054,-0.0041975,2.87081e-05,0.0
61,293.117,100146.0,146.054,-0.00431021,3.01475e-05,0.0
62,293.117,100146.0,146.054,-0.00442842,3.1677e-05,0.0
63,293.117,100146.0,146.054,-0.00455247,3.3304e-05,0.0
64,293.117,100146.0,146.054,-0.00468272,3.50361e-05,0.0
65,293.117,100146.0,146.054,-0.00481956,3.68814e-05,0.0
66,293.117,100146.0,146.054,-0.00496342,3.88487e-05,0.0
67,293.117,100146.0,146.054,-0.00511477,4.09474e-05,0.0
68,293.117,100146.0,146.054,-0.00527411,4.31874e-05,0.0
69,293.117,100146.0,146.054,-0.00544198,4.55794e-05,0.0
70,293.117,100146.0,146.054,-0.00561896,4.81357e-05,0.0
71,293.117,100146.0,146.054,-0.00580571,5.08704e-05,0.0
72,293.117,100146.0,146.054,-0.00600292,5.37985e-05,0.0
73,293.117,100146.0,146.054,-0.00621136,5.69362e-05,0.0
74,293.117,100146.0,146.054,-0.00643186,6.03009e-05,0.0
75,293.117,100146.0,146.055,-0.00666533,6.39127e-05,0.0
76,293.117,100146.0,146.055,-0.00691278,6.77939e-05,0.0
77,293.117,100146.0,146.055,-0.00717529,7.19674e-05,0.0
78,293.117,100146.0,146.055,-0.00745407,7.64569e-05,0.0
79,293.117,100146.0,146.055,-0.00775043,8.12876e-05,0.0
80,293.117,100146.0,146.055,-0.00806583,8.64893e-05,0.0
81,293.117,100146.0,146.055,-0.00840188,9.2096e-05,0.0
