,T,p,p_rgh,Ux,Uy,Ux
81,293.115,100144.0,143.756,-0.00765658,7.96096e-05,0.0
82,293.115,100144.0,143.756,-0.00796434,8.47091e-05,0.0
83,293.115,100144.0,143.756,-0.00829222,9.02072e-05,0.0
84,293.115,100144.0,143.756,-0.00864194,9.61418e-05,0.0
85,293.115,100144.0,143.756,-0.00901544,0.000102556,0.0
86,293.115,100144.0,143.756,-0.0094149,0.000109501,0.0
87,293.115,100144.0,143.756,-0.00984274,0.000117034,0.0
88,293.115,100144.0,143.756,-0.0103018,0.000125222,0.0
89,293.115,100144.0,143.756,-0.0107952,0.00013414,0.0
90,293.115,100144.0,143.756,-0.0113266,0.000143879,0.0
91,293.115,100144.0,143.756,-0.0119004,0.000154541,0.0
92,293.115,100144.0,143.756,-0.0125217,0.000166234,0.0
93,293.115,100144.0,143.757,-0.0131964,0.000179049,0.0
94,293.115,100144.0,143.757,-0.0139319,0.000193008,0.0
95,293.115,100144.0,143.757,-0.0147367,0.000207985,0.0
96,293.115,100144.0,143.757,-0.0156203,0.000223597,0.0
97,293.115,100144.0,143.757,-0.0165928,0.000239092,0.0
98,293.114,100144.0,143.757,-0.0176634,0.000253327,0.0
99,293.113,100144.0,143.757,-0.0188371,0.00026486,0.0
100,293.11,100144.0,143.757,-0.0201102,0.000272127,0.0
101,293.105,100144.0,143.758,-0.0214638,0.000273431,0.0
102,293.096,100144.0,143.758,-0.0228578,0.000266509,0.0
103,293.082,100144.0,143.758,-0.0242271,0.000247955,0.0
104,293.061,100144.0,143.758,-0.0254852,0.000213522,0.0
105,293.031,100144.0,143.758,-0.0265353,0.000160028,0.0
106,292.992,100144.0,143.758,-0.0272886,8.81462e-05,0.0
107,292.942,100144.0,143.758,-0.0276783,5.81069e-06,0.0
108,292.88,100144.0,143.759,-0.0276723,-6.89088e-05,0.0
109,292.805,100144.0,143.759,-0.0273088,-0.000132747,0.0
110,292.717,100144.0,143.759,-0.0265542,-0.000210916,0.0
111,292.619,100144.0,143.759,-0.0254274,-0.000305035,0.0
112,292.515,100144.0,143.759,-0.023974,-0.000405085,0.0
113,292.41,100144.0,143.759,-0.0222621,-0.000497897,0.0
114,292.306,100144.0,143.759,-0.0203747,-0.000571432,0.0
115,292.207,100144.0,143.759,-0.0184017,-0.00061672,0.0
116,292.115,100144.0,143.758,-0.0164329,-0.000628253,0.0
117,292.03,100144.0,143.758,-0.0145542,-0.000603607,0.0
118,291.953,100144.0,143.758,-0.0128452,-0.000542834,0.0
119,291.884,100144.0,143.758,-0.0113766,-0.000447912,0.0
120,291.823,100144.0,143.758,-0.0102066,-0.000322565,0.0
121,291.769,100144.0,143.758,-0.00937722,-0.000172318,0.0
122,291.721,100144.0,143.758,-0.00890656,-4.39265e-06,0.0
123,291.678,100144.0,143.758,-0.0087757,0.000163661,0.0
124,291.637,100144.0,143.758,-0.00904253,0.000279888,0.0
125,291.597,100144.0,143.758,-0.00970864,0.000355504,0.0
126,291.558,100144.0,143.758,-0.0106794,0.000378177,0.0
127,291.517,100144.0,143.758,-0.0118475,0.00034401,0.0
128,291.474,100144.0,143.758,-0.0131047,0.000251678,0.0
129,291.428,100144.0,143.758,-0.014372,0.000111802,0.0
130,291.377,100144.0,143.758,-0.0156112,-4.79756e-05,0.0
131,291.322,100144.0,143.758,-0.016828,-0.000190267,0.0
132,291.261,100144.0,143.758,-0.0180643,-0.000279431,0.0
133,291.195,100144.0,143.758,-0.0193761,-0.000294124,0.0
134,291.125,100144.0,143.758,-0.0208078,-0.000234996,0.0
135,291.051,100144.0,143.758,-0.0223725,-0.000123324,0.0
136,290.973,100144.0,143.759,-0.0240443,8.61052e-06,0.0
137,290.892,100144.0,143.759,-0.0257662,0.000129803,0.0
138,290.811,100144.0,143.759,-0.0274657,0.000219258,0.0
139,290.73,100144.0,143.759,-0.0290727,0.000268628,0.0
140,290.652,100144.0,143.759,-0.0305318,0.000279923,0.0
141,290.581,100144.0,143.759,-0.0318069,0.000261037,0.0
142,290.52,100144.0,143.759,-0.0328814,0.000221582,0.0
143,290.468,100144.0,143.759,-0.0337549,0.000170334,0.0
144,290.428,100144.0,143.759,-0.0344393,0.000114245,0.0
145,290.398,100144.0,143.759,-0.0349559,5.84471e-05,0.0
146,290.377,100144.0,143.759,-0.0353323,6.68643e-06,0.0
147,290.363,100144.0,143.759,-0.0356,-3.82105e-05,0.0
148,290.354,100144.0,143.759,-0.0357934,-7.41746e-05,0.0
149,290.348,100144.0,143.759,-0.0359481,-0.000100145,0.0
150,290.343,100144.0,143.759,-0.036101,-0.000116133,0.0
151,290.34,100144.0,143.759,-0.0362899,-0.000121645,0.0
152,290.336,100144.0,143.759,-0.0365508,-0.000113923,0.0
153,290.332,100144.0,143.759,-0.0369177,-9.11124e-05,0.0
154,290.328,100144.0,143.759,-0.0374237,-5.24199e-05,0.0
155,290.324,100144.0,143.759,-0.0381,2.55316e-06,0.0
156,290.319,100144.0,143.759,-0.0389746,7.40778e-05,0.0
157,290.314,100144.0,143.759,-0.0400726,0.000162254,0.0
158,290.308,100144.0,143.758,-0.0414152,0.000266869,0.0
159,290.302,100144.0,143.758,-0.0430194,0.00038726,0.0
160,290.296,100144.0,143.758,-0.0448981,0.000522223,0.0
161,290.289,100144.0,143.758,-0.0470591,0.000670004,0.0
162,290.281,100144.0,143.758,-0.0495055,0.000828351,0.0
163,290.273,100144.0,143.758,-0.0522358,0.000994634,0.0
164,290.265,100144.0,143.758,-0.0552434,0.00116598,0.0
165,290.257,100144.0,143.758,-0.0585175,0.00133943,0.0
166,290.248,100144.0,143.758,-0.0620436,0.00151213,0.0
167,290.239,100144.0,143.758,-0.0658035,0.00168147,0.0
168,290.23,100144.0,143.758,-0.0697766,0.00184524,0.0
169,290.22,100144.0,143.758,-0.0739401,0.00200171,0.0
170,290.211,100144.0,143.758,-0.0782699,0.00214964,0.0
171,290.201,100144.0,143.758,-0.0827412,0.00228823,0.0
172,290.192,100144.0,143.758,-0.0873286,0.00241707,0.0
173,290.183,100144.0,143.758,-0.0920068,0.00253602,0.0
174,290.173,100144.0,143.758,-0.09675,0.00264504,0.0
175,290.163,100144.0,143.757,-0.101532,0.00274403,0.0
176,290.154,100144.0,143.757,-0.106327,0.00283259,0.0
177,290.144,100144.0,143.757,-0.111106,0.0029098,0.0
178,290.134,100144.0,143.757,-0.115837,0.0029739,0.0
179,290.125,100144.0,143.757,-0.120485,0.00302194,0.0
180,290.115,100144.0,143.758,-0.125006,0.00304929,0.0
181,290.105,100144.0,143.758,-0.129349,0.00304907,0.0
182,290.095,100144.0,143.758,-0.133448,0.0030111,0.0
183,290.084,100144.0,143.758,-0.137217,0.00292026,0.0
184,290.074,100144.0,143.759,-0.140545,0.00275425,0.0
185,290.063,100144.0,143.759,-0.143277,0.00248222,0.0
186,290.052,100144.0,143.76,-0.145202,0.00206207,0.0
187,290.041,100144.0,143.761,-0.146045,0.00142377,0.0
188,290.03,100144.0,143.762,-0.145531,0.000453966,0.0
189,290.014,100144.0,143.763,-0.143122,-0.000848364,0.0
190,289.993,100144.0,143.765,-0.138324,-0.00248844,0.0
191,289.964,100144.0,143.768,-0.130599,-0.00448742,0.0
192,289.925,100144.0,143.77,-0.119378,-0.0068535,0.0
193,289.874,100144.0,143.773,-0.104139,-0.00955164,0.0
194,289.806,100144.0,143.776,-0.0846299,-0.0124543,0.0
195,289.717,100144.0,143.778,-0.0613037,-0.0152182,0.0
196,289.601,100144.0,143.779,-0.0357835,-0.0169685,0.0
197,289.443,100144.0,143.778,-0.0103598,-0.0155197,0.0
198,289.156,100144.0,143.778,0.013399,-0.00175224,0.0
199,288.781,100144.0,143.777,0.0106951,0.0066846,0.0
200,298.76,100144.0,143.753,-0.0100586,0.0214494,0.0
201,294.313,100144.0,143.754,-0.0161503,0.00244726,0.0
202,293.384,100144.0,143.754,-0.0172062,-0.00354985,0.0
203,293.182,100144.0,143.755,-0.0161172,-0.00398747,0.0
204,293.133,100144.0,143.755,-0.0144905,-0.00321749,0.0
205,293.121,100144.0,143.755,-0.0129492,-0.00239147,0.0
206,293.117,100144.0,143.755,-0.0116535,-0.00174922,0.0
207,293.116,100144.0,143.755,-0.0105995,-0.00128938,0.0
208,293.116,100144.0,143.755,-0.00974729,-0.000966197,0.0
209,293.115,100144.0,143.755,-0.00905639,-0.000737595,0.0
210,293.115,100144.0,143.755,-0.00849296,-0.000573146,0.0
211,293.115,100144.0,143.755,-0.00803051,-0.000452366,0.0
212,293.115,100144.0,143.755,-0.00764859,-0.00036172,0.0
213,293.115,100144.0,143.755,-0.00733152,-0.000292248,0.0
214,293.115,100144.0,143.755,-0.00706717,-0.000237947,0.0
215,293.115,100144.0,143.755,-0.00684616,-0.000194734,0.0
216,293.115,100144.0,143.755,-0.00666112,-0.000159775,0.0
217,293.115,100144.0,143.755,-0.00650625,-0.000131072,0.0
218,293.115,100144.0,143.755,-0.00637694,-0.000107183,0.0
219,293.115,100144.0,143.755,-0.00626945,-8.70523e-05,0.0
220,293.115,100144.0,143.755,-0.00618079,-6.98946e-05,0.0
221,293.115,100144.0,143.755,-0.00610848,-5.51145e-05,0.0
222,293.115,100144.0,143.755,-0.00605052,-4.22528e-05,0.0
223,293.115,100144.0,143.755,-0.00600522,-3.09456e-05,0.0
224,293.115,100144.0,143.755,-0.00597119,-2.08931e-05,0.0
225,293.115,100144.0,143.755,-0.00594729,-1.18292e-05,0.0
226,293.115,100144.0,143.755,-0.00593261,-3.5137e-06,0.0
227,293.115,100144.0,143.755,-0.00592611,4.14909e-06,0.0
228,293.115,100144.0,143.755,-0.0059276,1.11885e-05,0.0
