,T,p,p_rgh,Ux,Uy,Ux
0,298.486,100144.0,143.626,-0.0119557,0.00838034,0.0
1,294.3,100144.0,143.626,-0.0170974,-0.000203085,0.0
2,293.407,100144.0,143.627,-0.0149834,-0.00174679,0.0
3,293.195,100144.0,143.627,-0.0118865,-0.0015148,0.0
4,293.139,100144.0,143.627,-0.00928114,-0.00103946,0.0
5,293.123,100144.0,143.627,-0.00742164,-0.000670767,0.0
6,293.118,100144.0,143.627,-0.00613165,-0.000430015,0.0
7,293.116,100144.0,143.627,-0.00522577,-0.000279925,0.0
8,293.116,100144.0,143.627,-0.00457358,-0.000186979,0.0
9,293.115,100144.0,143.627,-0.004092,-0.000128682,0.0
10,293.115,100144.0,143.627,-0.00372791,-9.12201e-05,0.0
11,293.115,100144.0,143.627,-0.0034469,-6.64265e-05,0.0
12,293.115,100144.0,143.627,-0.00322623,-4.94947e-05,0.0
13,293.115,100144.0,143.627,-0.00305054,-3.75658e-05,0.0
14,293.115,100144.0,143.627,-0.00290919,-2.89068e-05,0.0
15,293.115,100144.0,143.627,-0.00279462,-2.24443e-05,0.0
16,293.115,100144.0,143.627,-0.00270136,-1.74976e-05,0.0
17,293.115,100144.0,143.627,-0.00262534,-1.36237e-05,0.0
18,293.115,100144.0,143.627,-0.00256349,-1.05263e-05,0.0
19,293.115,100144.0,143.627,-0.00251346,-8.00256e-06,0.0
20,293.115,100144.0,143.627,-0.0024734,-5.91036e-06,0.0
21,293.115,100144.0,143.627,-0.00244186,-4.14847e-06,0.0
22,293.115,100144.0,143.627,-0.00241769,-2.64254e-06,0.0
23,293.115,100144.0,143.627,-0.00239994,-1.33497e-06,0.0
24,293.115,100144.0,143.627,-0.00238786,-1.76093e-07,0.0
25,293.115,100144.0,143.627,-0.00238087,8.90289e-07,0.0
26,293.115,100144.0,143.627,-0.00237841,1.91489e-06,0.0
27,293.115,100144.0,143.627,-0.00238031,2.77465e-06,0.0
28,293.115,100144.0,143.627,-0.0023863,3.50138e-06,0.0
29,293.115,100144.0,143.627,-0.00239583,4.17333e-06,0.0
30,293.115,100144.0,143.627,-0.00240856,4.8226e-06,0.0
31,293.115,100144.0,143.627,-0.00242429,5.4363e-06,0.0
32,293.115,100144.0,143.627,-0.00244283,6.0161e-06,0.0
33,293.115,100144.0,143.627,-0.00246403,6.56922e-06,0.0
34,293.115,100144.0,143.627,-0.00248777,7.1031e-06,0.0
35,293.115,100144.0,143.627,-0.00251393,7.6239e-06,0.0
36,293.115,100144.0,143.627,-0.00254243,8.13638e-06,0.0
37,293.115,100144.0,143.627,-0.00257322,8.64424e-06,0.0
38,293.115,100144.0,143.627,-0.00260626,9.15065e-06,0.0
39,293.115,100144.0,143.627,-0.00264151,9.6586e-06,0.0
40,293.115,100144.0,143.627,-0.00267897,1.01711e-05,0.0
41,293.115,100144.0,143.627,-0.00271862,1.06909e-05,0.0
42,293.115,100144.0,143.627,-0.00276049,1.12209e-05,0.0
43,293.115,100144.0,143.627,-0.0028046,1.17637e-05,0.0
44,293.115,100144.0,143.627,-0.00285097,1.2322e-05,0.0
45,293.115,100144.0,143.627,-0.00289965,1.28983e-05,0.0
46,293.115,100144.0,143.627,-0.0029507,1.34951e-05,0.0
47,293.115,100144.0,143.627,-0.00300418,1.41148e-05,0.0
48,293.115,100144.0,143.627,-0.00306017,1.47599e-05,0.0
49,293.115,100144.0,143.627,-0.00311874,1.54327e-05,0.0
50,293.115,100144.0,143.627,-0.00317999,1.61357e-05,0.0
51,293.115,100144.0,143.627,-0.00324402,1.68715e-05,0.0
52,293.115,100144.0,143.627,-0.00331095,1.76426e-05,0.0
53,293.115,100144.0,143.627,-0.0033809,1.84517e-05,0.0
54,293.115,100144.0,143.627,-0.00345399,1.93015e-05,0.0
55,293.115,100144.0,143.627,-0.00353039,2.01952e-05,0.0
56,293.115,100144.0,143.627,-0.00361024,2.11358e-05,0.0
57,293.115,100144.0,143.627,-0.00369372,2.21269e-05,0.0
58,293.115,100144.0,143.627,-0.00378101,2.31725e-05,0.0
59,293.115,100144.0,143.627,-0.00387231,2.4277e-05,0.0
60,293.115,100144.0,143.627,-0.00396783,2.54451e-05,0.0
61,293.115,100144.0,143.627,-0.00406783,2.66824e-05,0.0
62,293.115,100144.0,143.627,-0.00417254,2.79948e-05,0.0
63,293.115,100144.0,143.627,-0.00428225,2.93887e-05,0.0
64,293.115,100144.0,143.627,-0.00439727,3.08708e-05,0.0
65,293.115,100144.0,143.627,-0.00451792,3.24478e-05,0.0
66,293.115,100144.0,143.627,-0.00464454,3.41269e-05,0.0
67,293.115,100144.0,143.627,-0.00477754,3.59159e-05,0.0
68,293.115,100144.0,143.628,-0.00491731,3.78226e-05,0.0
